COD,PA_UFMUN,Nome_Município,Nome_UF,mes,ano,Procedimento,PA_QTDAPR,PA_IDADE,PA_VALAPR
59,110004,Cacoal,Rondônia,04,2018,Cirurgia Oncológica,57.0,27.29824561403509,28.420000000000016
60,110004,Cacoal,Rondônia,04,2018,Quimioterapia,506.0,61.29026217228464,525.0816666666666
61,110004,Cacoal,Rondônia,04,2018,Radioterapia,4454.0,62.647230320699705,489.7201166180758
62,110004,Cacoal,Rondônia,04,2020,Cirurgia Oncológica,60.0,29.096153846153847,32.58096153846155
63,110004,Cacoal,Rondônia,04,2020,"Diagnósticos: biopsia, mamografia",4.0,50.25,200.0
64,110004,Cacoal,Rondônia,04,2020,Quimioterapia,602.0,61.87461300309597,483.2863931888545
65,110004,Cacoal,Rondônia,04,2020,Radioterapia,30.0,66.06896551724138,4081.3793103448274
66,110004,Cacoal,Rondônia,04,2021,Cirurgia Oncológica,36.0,96.2258064516129,70.38129032258063
67,110004,Cacoal,Rondônia,04,2021,Quimioterapia,608.0,61.1594427244582,458.1853560371517
68,110004,Cacoal,Rondônia,04,2021,Radioterapia,26.0,59.583333333333336,3836.2916666666665
69,110004,Cacoal,Rondônia,05,2018,Cirurgia Oncológica,56.0,27.410714285714285,28.420000000000016
70,110004,Cacoal,Rondônia,05,2018,Quimioterapia,515.0,61.083636363636366,551.1675636363638
71,110004,Cacoal,Rondônia,05,2018,Radioterapia,5463.0,59.94708994708995,542.3809523809524
72,110004,Cacoal,Rondônia,05,2020,Cirurgia Oncológica,113.0,33.42201834862385,31.62862385321104
73,110004,Cacoal,Rondônia,05,2020,Quimioterapia,608.0,61.80357142857143,478.3742559523808
74,110004,Cacoal,Rondônia,05,2020,Radioterapia,35.0,59.84848484848485,4493.363636363636
75,110004,Cacoal,Rondônia,05,2021,Cirurgia Oncológica,31.0,116.0,93.0495833333333
76,110004,Cacoal,Rondônia,05,2021,Quimioterapia,593.0,61.04420731707317,454.08766768292685
77,110004,Cacoal,Rondônia,05,2021,Radioterapia,26.0,60.19230769230769,4410.7307692307695
78,110004,Cacoal,Rondônia,06,2018,Cirurgia Oncológica,39.0,24.897435897435898,28.41999999999999
79,110004,Cacoal,Rondônia,06,2018,Quimioterapia,511.0,61.29061371841155,519.1846028880865
80,110004,Cacoal,Rondônia,06,2018,Radioterapia,5233.0,60.56417910447761,577.8776119402985
81,110004,Cacoal,Rondônia,06,2020,Cirurgia Oncológica,128.0,29.821428571428573,33.84366071428577
82,110004,Cacoal,Rondônia,06,2020,"Diagnósticos: biopsia, mamografia",1.0,53.0,200.0
83,110004,Cacoal,Rondônia,06,2020,Quimioterapia,618.0,61.53170028818444,461.08393371757893
84,110004,Cacoal,Rondônia,06,2020,Radioterapia,37.0,61.0,4112.941176470588
85,110004,Cacoal,Rondônia,06,2021,Cirurgia Oncológica,34.0,163.5909090909091,108.15045454545452
86,110004,Cacoal,Rondônia,06,2021,Quimioterapia,615.0,61.063235294117646,449.36113235294135
87,110004,Cacoal,Rondônia,06,2021,Radioterapia,42.0,60.0,4285.5609756097565
88,110004,Cacoal,Rondônia,07,2018,Cirurgia Oncológica,44.0,31.75,28.42
89,110004,Cacoal,Rondônia,07,2018,Quimioterapia,505.0,61.60482374768089,546.1490723562151
90,110004,Cacoal,Rondônia,07,2018,Radioterapia,4701.0,59.37966101694915,596.4813559322034
91,110004,Cacoal,Rondônia,07,2020,Cirurgia Oncológica,98.0,28.934065934065934,34.94791208791211
92,110004,Cacoal,Rondônia,07,2020,"Diagnósticos: biopsia, mamografia",4.0,66.25,200.0
93,110004,Cacoal,Rondônia,07,2020,Quimioterapia,611.0,61.16983894582723,476.3100292825772
94,110004,Cacoal,Rondônia,07,2020,Radioterapia,38.0,64.13793103448276,4539.517241379311
95,110004,Cacoal,Rondônia,08,2018,Cirurgia Oncológica,63.0,29.126984126984127,28.420000000000023
96,110004,Cacoal,Rondônia,08,2018,"Diagnósticos: biopsia, mamografia",1.0,69.0,200.0
97,110004,Cacoal,Rondônia,08,2018,Quimioterapia,552.0,61.1520979020979,559.490104895105
98,110004,Cacoal,Rondônia,08,2018,Radioterapia,4732.0,60.74635568513119,516.1341107871721
99,110004,Cacoal,Rondônia,08,2020,Cirurgia Oncológica,112.0,28.66355140186916,31.796542056074802
100,110004,Cacoal,Rondônia,08,2020,"Diagnósticos: biopsia, mamografia",2.0,56.0,200.0
101,110004,Cacoal,Rondônia,08,2020,Quimioterapia,603.0,61.17130307467057,444.7111420204977
102,110004,Cacoal,Rondônia,08,2020,Radioterapia,73.0,61.98360655737705,3897.7377049180327
103,110004,Cacoal,Rondônia,09,2018,Cirurgia Oncológica,44.0,23.59090909090909,28.42
104,110004,Cacoal,Rondônia,09,2018,Quimioterapia,562.0,61.21864406779661,544.6356610169494
105,110004,Cacoal,Rondônia,09,2018,Radioterapia,3593.0,58.32129963898917,480.54151624548734
106,110004,Cacoal,Rondônia,09,2020,Cirurgia Oncológica,147.0,31.623931623931625,36.660341880341925
107,110004,Cacoal,Rondônia,09,2020,Quimioterapia,620.0,61.15712187958884,481.90088105726875
108,110004,Cacoal,Rondônia,09,2020,Radioterapia,52.0,61.93181818181818,3697.5227272727275
109,110004,Cacoal,Rondônia,10,2018,Cirurgia Oncológica,73.0,30.690140845070424,29.220563380281714
110,110004,Cacoal,Rondônia,10,2018,Quimioterapia,533.0,61.98119658119658,489.4546153846154
111,110004,Cacoal,Rondônia,10,2018,Radioterapia,3365.0,58.97265625,487.890625
112,110004,Cacoal,Rondônia,10,2020,Cirurgia Oncológica,147.0,28.647058823529413,36.46453781512608
113,110004,Cacoal,Rondônia,10,2020,"Diagnósticos: biopsia, mamografia",1.0,48.0,200.0
114,110004,Cacoal,Rondônia,10,2020,Quimioterapia,613.0,61.62241887905605,470.62535398230085
115,110004,Cacoal,Rondônia,10,2020,Radioterapia,35.0,58.16129032258065,4882.096774193548
116,110004,Cacoal,Rondônia,11,2018,Cirurgia Oncológica,60.0,20.71186440677966,28.90169491525426
117,110004,Cacoal,Rondônia,11,2018,"Diagnósticos: biopsia, mamografia",1.0,57.0,200.0
118,110004,Cacoal,Rondônia,11,2018,Quimioterapia,573.0,62.108695652173914,535.8877591973243
119,110004,Cacoal,Rondônia,11,2018,Radioterapia,2579.0,59.07239819004525,445.5339366515837
120,110004,Cacoal,Rondônia,11,2020,Cirurgia Oncológica,151.0,46.56,40.67936000000004
121,110004,Cacoal,Rondônia,11,2020,Quimioterapia,624.0,61.69387755102041,446.8010058309037
122,110004,Cacoal,Rondônia,11,2020,Radioterapia,45.0,60.717948717948715,3886.74358974359
123,110004,Cacoal,Rondônia,12,2017,Quimioterapia,1.0,1.0,850.0
124,110004,Cacoal,Rondônia,12,2018,Cirurgia Oncológica,76.0,30.28,28.798933333333366
125,110004,Cacoal,Rondônia,12,2018,Quimioterapia,538.0,61.95114006514658,478.18895765472314
126,110004,Cacoal,Rondônia,12,2018,Radioterapia,2806.0,58.89090909090909,630.2666666666667
127,110004,Cacoal,Rondônia,12,2020,Cirurgia Oncológica,128.0,47.625,41.25239583333339
128,110004,Cacoal,Rondônia,12,2020,Quimioterapia,618.0,61.23572474377745,456.12385065885803
129,110004,Cacoal,Rondônia,12,2020,Radioterapia,17.0,61.785714285714285,3470.285714285714
130,110011,Jaru,Rondônia,01,2021,Cirurgia Oncológica,2.0,25.0,41.1
131,110011,Jaru,Rondônia,04,2021,Cirurgia Oncológica,4.0,51.0,41.1
132,110011,Jaru,Rondônia,05,2018,Cirurgia Oncológica,3.0,27.333333333333332,35.2
133,110011,Jaru,Rondônia,05,2021,Cirurgia Oncológica,2.0,40.5,41.1
134,110011,Jaru,Rondônia,06,2018,Cirurgia Oncológica,9.0,30.22222222222222,37.72444444444445
135,110011,Jaru,Rondônia,07,2018,Cirurgia Oncológica,13.0,28.076923076923077,38.39538461538462
136,110011,Jaru,Rondônia,08,2018,Cirurgia Oncológica,1.0,2.0,38.74
137,110011,Jaru,Rondônia,09,2018,Cirurgia Oncológica,1.0,44.0,42.59
138,110011,Jaru,Rondônia,09,2020,Cirurgia Oncológica,2.0,34.0,41.1
139,110011,Jaru,Rondônia,10,2018,Cirurgia Oncológica,2.0,31.5,41.1
140,110011,Jaru,Rondônia,10,2020,Cirurgia Oncológica,3.0,30.333333333333332,41.1
141,110011,Jaru,Rondônia,11,2018,Cirurgia Oncológica,6.0,31.333333333333332,39.71333333333333
142,110011,Jaru,Rondônia,11,2020,Cirurgia Oncológica,6.0,22.333333333333332,38.98666666666667
143,110011,Jaru,Rondônia,12,2018,Cirurgia Oncológica,5.0,32.4,41.1
144,110011,Jaru,Rondônia,12,2020,Cirurgia Oncológica,1.0,24.0,41.1
145,110012,Ji-Paraná,Rondônia,06,2021,Cirurgia Oncológica,5.0,46.8,28.420000000000005
146,110012,Ji-Paraná,Rondônia,12,2020,Cirurgia Oncológica,1.0,35.0,28.42
147,110015,Ouro Preto do Oeste,Rondônia,02,2020,Cirurgia Oncológica,2.0,47.0,37.5
148,110015,Ouro Preto do Oeste,Rondônia,03,2020,Cirurgia Oncológica,1.0,17.0,41.1
149,110015,Ouro Preto do Oeste,Rondônia,04,2020,Cirurgia Oncológica,2.0,23.0,35.2
150,110015,Ouro Preto do Oeste,Rondônia,05,2020,Cirurgia Oncológica,2.0,37.5,39.92
151,110015,Ouro Preto do Oeste,Rondônia,07,2020,Cirurgia Oncológica,2.0,39.0,36.97
152,110018,Pimenta Bueno,Rondônia,03,2018,Cirurgia Oncológica,1.0,52.0,28.42
153,110018,Pimenta Bueno,Rondônia,05,2018,Cirurgia Oncológica,2.0,43.0,28.42
154,110018,Pimenta Bueno,Rondônia,10,2018,Cirurgia Oncológica,1.0,60.0,28.42
155,110020,Porto Velho,Rondônia,01,2018,Cirurgia Oncológica,183.0,84.49132947976878,214.7397109826588
156,110020,Porto Velho,Rondônia,01,2018,Quimioterapia,1488.0,57.26835607537362,514.4960688758937
157,110020,Porto Velho,Rondônia,01,2018,Radioterapia,4553.0,57.26234567901235,573.9783950617284
158,110020,Porto Velho,Rondônia,01,2020,Cirurgia Oncológica,164.0,58.25609756097561,416.8302439024386
159,110020,Porto Velho,Rondônia,01,2020,"Diagnósticos: biopsia, mamografia",4.0,32.25,200.0
160,110020,Porto Velho,Rondônia,01,2020,Quimioterapia,1750.0,56.2532800912721,652.0980091272104
161,110020,Porto Velho,Rondônia,01,2020,Radioterapia,43.0,55.97674418604651,3976.767441860465
162,110020,Porto Velho,Rondônia,01,2021,Cirurgia Oncológica,35.0,33.48571428571429,44.568000000000005
163,110020,Porto Velho,Rondônia,01,2021,"Diagnósticos: biopsia, mamografia",5.0,23.0,200.0
164,110020,Porto Velho,Rondônia,01,2021,Quimioterapia,1936.0,55.73605371900826,657.3370867768596
165,110020,Porto Velho,Rondônia,01,2021,Radioterapia,77.0,53.42857142857143,3960.7272727272725
166,110020,Porto Velho,Rondônia,02,2018,Cirurgia Oncológica,123.0,62.95049504950495,227.22237623762385
167,110020,Porto Velho,Rondônia,02,2018,Quimioterapia,1474.0,57.1562123039807,504.6963691194209
168,110020,Porto Velho,Rondônia,02,2018,Radioterapia,4677.0,57.07936507936508,532.8492063492064
169,110020,Porto Velho,Rondônia,02,2020,Cirurgia Oncológica,290.0,59.294736842105266,375.3275789473693
170,110020,Porto Velho,Rondônia,02,2020,"Diagnósticos: biopsia, mamografia",2.0,54.5,200.0
171,110020,Porto Velho,Rondônia,02,2020,Quimioterapia,1726.0,56.47621407333994,560.0199058473734
172,110020,Porto Velho,Rondônia,02,2020,Radioterapia,48.0,52.875,4021.7291666666665
173,110020,Porto Velho,Rondônia,02,2021,Cirurgia Oncológica,33.0,37.696969696969695,39.28424242424242
174,110020,Porto Velho,Rondônia,02,2021,"Diagnósticos: biopsia, mamografia",22.0,18.09090909090909,200.0
175,110020,Porto Velho,Rondônia,02,2021,Quimioterapia,1884.0,55.191216834400734,566.6200960658726
176,110020,Porto Velho,Rondônia,02,2021,Radioterapia,97.0,52.45360824742268,4562.278350515464
177,110020,Porto Velho,Rondônia,03,2018,Cirurgia Oncológica,192.0,127.42372881355932,305.90062146892615
178,110020,Porto Velho,Rondônia,03,2018,Quimioterapia,1530.0,57.462941176470586,533.4707588235291
179,110020,Porto Velho,Rondônia,03,2018,Radioterapia,5951.0,56.422818791946305,622.5939597315436
180,110020,Porto Velho,Rondônia,03,2020,Cirurgia Oncológica,200.0,96.25824175824175,484.40642857142916
181,110020,Porto Velho,Rondônia,03,2020,"Diagnósticos: biopsia, mamografia",1.0,69.0,200.0
182,110020,Porto Velho,Rondônia,03,2020,Quimioterapia,1886.0,56.49361514751211,555.5952752091581
183,110020,Porto Velho,Rondônia,03,2020,Radioterapia,102.0,54.029411764705884,4579.441176470588
184,110020,Porto Velho,Rondônia,03,2021,Cirurgia Oncológica,46.0,33.888888888888886,46.866666666666696
185,110020,Porto Velho,Rondônia,03,2021,"Diagnósticos: biopsia, mamografia",36.0,12.833333333333334,200.0
186,110020,Porto Velho,Rondônia,03,2021,Quimioterapia,1974.0,54.90131300296485,563.0777806014402
187,110020,Porto Velho,Rondônia,03,2021,Radioterapia,121.0,53.86776859504132,4249.702479338843
188,110020,Porto Velho,Rondônia,04,2018,Cirurgia Oncológica,288.0,76.69348659003832,443.43919540230013
189,110020,Porto Velho,Rondônia,04,2018,Quimioterapia,1494.0,57.15565438373571,527.6893710292248
190,110020,Porto Velho,Rondônia,04,2018,Radioterapia,5539.0,55.24918032786885,571.4622950819672
191,110020,Porto Velho,Rondônia,04,2020,Cirurgia Oncológica,85.0,76.47368421052632,643.7030263157887
192,110020,Porto Velho,Rondônia,04,2020,"Diagnósticos: biopsia, mamografia",7.0,29.571428571428573,200.0
193,110020,Porto Velho,Rondônia,04,2020,Quimioterapia,1797.0,56.31689401888772,603.9663955928647
194,110020,Porto Velho,Rondônia,04,2020,Radioterapia,111.0,53.85585585585586,4562.153153153153
195,110020,Porto Velho,Rondônia,04,2021,Cirurgia Oncológica,3.0,52.0,109.54666666666667
196,110020,Porto Velho,Rondônia,04,2021,"Diagnósticos: biopsia, mamografia",14.0,16.0,200.0
197,110020,Porto Velho,Rondônia,04,2021,Quimioterapia,1911.0,55.16329479768786,647.224055876686
198,110020,Porto Velho,Rondônia,04,2021,Radioterapia,109.0,52.10679611650485,3930.126213592233
199,110020,Porto Velho,Rondônia,05,2018,Cirurgia Oncológica,158.0,98.46853146853147,310.98223776223745
200,110020,Porto Velho,Rondônia,05,2018,Quimioterapia,1513.0,57.3373063170441,525.1821036948749
201,110020,Porto Velho,Rondônia,05,2018,Radioterapia,5315.0,55.610978520286395,459.84486873508354
202,110020,Porto Velho,Rondônia,05,2020,Cirurgia Oncológica,10.0,37.22222222222222,100.45777777777779
203,110020,Porto Velho,Rondônia,05,2020,"Diagnósticos: biopsia, mamografia",16.0,36.3125,200.0
204,110020,Porto Velho,Rondônia,05,2020,Quimioterapia,1895.0,55.84026156001868,602.5594955628213
205,110020,Porto Velho,Rondônia,05,2020,Radioterapia,107.0,55.8411214953271,4414.5046728971965
206,110020,Porto Velho,Rondônia,05,2021,Cirurgia Oncológica,32.0,42.58064516129032,70.53193548387098
207,110020,Porto Velho,Rondônia,05,2021,"Diagnósticos: biopsia, mamografia",16.0,13.5,200.0
208,110020,Porto Velho,Rondônia,05,2021,Quimioterapia,1977.0,54.70688114387846,627.2666487935653
209,110020,Porto Velho,Rondônia,05,2021,Radioterapia,138.0,54.82945736434109,4204.093023255814
210,110020,Porto Velho,Rondônia,06,2018,Cirurgia Oncológica,203.0,71.53005464480874,539.5718032786895
211,110020,Porto Velho,Rondônia,06,2018,Quimioterapia,1567.0,57.428323699421966,513.5062312138729
212,110020,Porto Velho,Rondônia,06,2018,Radioterapia,5843.0,57.570149253731344,858.2208955223881
213,110020,Porto Velho,Rondônia,06,2020,Cirurgia Oncológica,5.0,58.6,64.272
214,110020,Porto Velho,Rondônia,06,2020,"Diagnósticos: biopsia, mamografia",16.0,21.1875,200.0
215,110020,Porto Velho,Rondônia,06,2020,Quimioterapia,1859.0,55.354838709677416,572.8789471326154
216,110020,Porto Velho,Rondônia,06,2020,Radioterapia,128.0,54.3984375,4478.171875
217,110020,Porto Velho,Rondônia,06,2021,Cirurgia Oncológica,43.0,39.25581395348837,27.624651162790695
218,110020,Porto Velho,Rondônia,06,2021,"Diagnósticos: biopsia, mamografia",19.0,19.105263157894736,200.0
219,110020,Porto Velho,Rondônia,06,2021,Quimioterapia,1955.0,54.438421509106675,592.1684952298345
220,110020,Porto Velho,Rondônia,06,2021,Radioterapia,126.0,54.44166666666667,4112.675
221,110020,Porto Velho,Rondônia,07,2018,Cirurgia Oncológica,261.0,60.24686192468619,305.1127196652715
222,110020,Porto Velho,Rondônia,07,2018,Quimioterapia,1603.0,57.673179396092365,550.8341503848432
223,110020,Porto Velho,Rondônia,07,2018,Radioterapia,5258.0,57.47594936708861,530.9721518987342
224,110020,Porto Velho,Rondônia,07,2020,Cirurgia Oncológica,16.0,45.733333333333334,91.74
225,110020,Porto Velho,Rondônia,07,2020,"Diagnósticos: biopsia, mamografia",19.0,42.21052631578947,200.0
226,110020,Porto Velho,Rondônia,07,2020,Quimioterapia,1951.0,55.75868544600939,604.138544600939
227,110020,Porto Velho,Rondônia,07,2020,Radioterapia,181.0,54.80110497237569,4614.5690607734805
228,110020,Porto Velho,Rondônia,08,2018,Cirurgia Oncológica,171.0,62.26060606060606,305.7386666666664
229,110020,Porto Velho,Rondônia,08,2018,Quimioterapia,1673.0,57.770682953914495,554.3028928373132
230,110020,Porto Velho,Rondônia,08,2018,Radioterapia,6183.0,56.12627986348123,980.9795221843003
231,110020,Porto Velho,Rondônia,08,2020,Cirurgia Oncológica,22.0,216.52941176470588,106.91882352941175
232,110020,Porto Velho,Rondônia,08,2020,"Diagnósticos: biopsia, mamografia",24.0,24.375,200.0
233,110020,Porto Velho,Rondônia,08,2020,Quimioterapia,1917.0,55.8816758747698,582.036187845304
234,110020,Porto Velho,Rondônia,08,2020,Radioterapia,58.0,56.741379310344826,4009.0689655172414
235,110020,Porto Velho,Rondônia,09,2018,Cirurgia Oncológica,179.0,62.30128205128205,339.7670512820508
236,110020,Porto Velho,Rondônia,09,2018,Quimioterapia,1641.0,58.13623827909542,547.4989244346385
237,110020,Porto Velho,Rondônia,09,2018,Radioterapia,4390.0,54.73232323232323,500.8459595959596
238,110020,Porto Velho,Rondônia,09,2020,Cirurgia Oncológica,44.0,44.64102564102564,58.4020512820513
239,110020,Porto Velho,Rondônia,09,2020,"Diagnósticos: biopsia, mamografia",17.0,20.88235294117647,200.0
240,110020,Porto Velho,Rondônia,09,2020,Quimioterapia,1906.0,55.697799730579256,577.0798293668613
241,110020,Porto Velho,Rondônia,09,2020,Radioterapia,114.0,53.96491228070175,4291.894736842105
242,110020,Porto Velho,Rondônia,10,2018,Cirurgia Oncológica,208.0,61.20103092783505,312.70329896907157
243,110020,Porto Velho,Rondônia,10,2018,Quimioterapia,1641.0,58.15977337110482,556.0953201133145
244,110020,Porto Velho,Rondônia,10,2018,Radioterapia,5146.0,52.92068965517242,760.3310344827586
245,110020,Porto Velho,Rondônia,10,2020,Cirurgia Oncológica,41.0,51.90625,94.76968749999999
246,110020,Porto Velho,Rondônia,10,2020,"Diagnósticos: biopsia, mamografia",20.0,27.95,200.0
247,110020,Porto Velho,Rondônia,10,2020,Quimioterapia,1969.0,56.06387867647059,612.1245220588229
248,110020,Porto Velho,Rondônia,10,2020,Radioterapia,127.0,55.118110236220474,4455.377952755905
249,110020,Porto Velho,Rondônia,11,2018,Cirurgia Oncológica,190.0,127.18343195266272,452.0887573964497
250,110020,Porto Velho,Rondônia,11,2018,"Diagnósticos: biopsia, mamografia",3.0,56.666666666666664,200.0
251,110020,Porto Velho,Rondônia,11,2018,Quimioterapia,1695.0,58.49395604395605,528.3872252747251
252,110020,Porto Velho,Rondônia,11,2018,Radioterapia,5149.0,53.05070422535211,639.7014084507042
253,110020,Porto Velho,Rondônia,11,2019,Cirurgia Oncológica,21.0,53.55555555555556,155.56833333333336
254,110020,Porto Velho,Rondônia,11,2020,Cirurgia Oncológica,61.0,47.98148148148148,80.12962962962968
255,110020,Porto Velho,Rondônia,11,2020,"Diagnósticos: biopsia, mamografia",24.0,13.0,200.0
256,110020,Porto Velho,Rondônia,11,2020,Quimioterapia,1919.0,55.853994490358126,598.2699586776863
257,110020,Porto Velho,Rondônia,11,2020,Radioterapia,114.0,53.18421052631579,4670.254385964912
258,110020,Porto Velho,Rondônia,12,2018,Cirurgia Oncológica,169.0,98.68,498.4292666666666
259,110020,Porto Velho,Rondônia,12,2018,"Diagnósticos: biopsia, mamografia",1.0,47.0,200.0
260,110020,Porto Velho,Rondônia,12,2018,Quimioterapia,1672.0,58.21989247311828,507.59026344086004
261,110020,Porto Velho,Rondônia,12,2018,Radioterapia,4213.0,50.990867579908674,802.4018264840182
262,110020,Porto Velho,Rondônia,12,2019,Cirurgia Oncológica,11.0,37.0,99.97272727272728
263,110020,Porto Velho,Rondônia,12,2019,Radioterapia,2.0,58.0,4150.0
264,110020,Porto Velho,Rondônia,12,2020,Cirurgia Oncológica,99.0,70.7741935483871,66.67193548387101
265,110020,Porto Velho,Rondônia,12,2020,"Diagnósticos: biopsia, mamografia",21.0,27.285714285714285,200.0
266,110020,Porto Velho,Rondônia,12,2020,Quimioterapia,1948.0,55.64038286235187,606.7752780309944
